Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man United,38,28,5,5,86,43,43,89
2,Man City,38,23,6,9,66,34,32,78
3,Chelsea,38,22,7,9,75,39,36,75
4,Arsenal,38,21,7,10,72,37,35,73
5,Tottenham,38,21,8,9,66,46,20,72
6,Everton,38,16,7,15,55,40,15,63
7,Liverpool,38,16,9,13,71,43,28,61
8,West Brom,38,14,17,7,53,57,-4,49
9,West Ham,38,12,16,10,45,53,-8,46
10,Swansea,38,11,14,13,47,51,-4,46
11,Norwich,38,10,14,14,41,58,-17,44
12,Fulham,38,11,17,10,50,60,-10,43
13,Stoke,38,9,14,15,34,45,-11,42
14,Aston Villa,38,10,17,11,47,69,-22,41
15,Newcastle,38,11,19,8,45,68,-23,41
16,Southampton,38,9,15,14,49,60,-11,41
17,Sunderland,38,9,17,12,41,54,-13,39
18,Wigan,38,9,20,9,47,73,-26,36
19,Reading,38,6,22,10,43,73,-30,28
20,QPR,38,4,21,13,30,60,-30,25
