Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Leicester,38,23,3,12,68,36,32,81
2,Arsenal,38,20,7,11,65,36,29,71
3,Tottenham,38,19,6,13,69,35,34,70
4,Man United,38,19,10,9,49,35,14,66
5,Man City,38,19,10,9,71,41,30,66
6,Southampton,38,18,11,9,59,41,18,63
7,West Ham,38,16,8,14,65,51,14,62
8,Liverpool,38,16,10,12,63,50,13,60
9,Stoke,38,14,15,9,41,55,-14,51
10,Chelsea,38,12,12,14,59,53,6,50
11,Everton,38,11,13,14,59,55,4,47
12,Swansea,38,12,15,11,42,52,-10,47
13,Watford,38,12,17,9,40,50,-10,45
14,West Brom,38,10,15,13,34,48,-14,43
15,Crystal Palace,38,11,18,9,39,51,-12,42
16,Bournemouth,38,11,18,9,45,67,-22,42
17,Sunderland,38,9,17,12,48,62,-14,39
18,Newcastle,38,9,19,10,44,65,-21,37
19,Norwich,38,9,22,7,39,67,-28,34
20,Aston Villa,38,3,27,8,27,76,-49,17
