Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man City,38,27,6,5,102,37,65,86
2,Liverpool,38,26,6,6,101,50,51,84
3,Chelsea,38,25,6,7,71,27,44,82
4,Arsenal,38,24,7,7,68,41,27,79
5,Everton,38,21,8,9,61,39,22,72
6,Tottenham,38,21,11,6,55,51,4,69
7,Man United,38,19,12,7,64,43,21,64
8,Southampton,38,15,12,11,54,46,8,56
9,Stoke,38,13,14,11,45,52,-7,50
10,Newcastle,38,15,19,4,43,59,-16,49
11,Crystal Palace,38,13,19,6,33,48,-15,45
12,Swansea,38,11,18,9,54,54,0,42
13,West Ham,38,11,20,7,40,51,-11,40
14,Sunderland,38,10,20,8,41,60,-19,38
15,Aston Villa,38,10,20,8,39,61,-22,38
16,Hull,38,10,21,7,38,53,-15,37
17,West Brom,38,7,16,15,43,59,-16,36
18,Norwich,38,8,21,9,28,62,-34,33
19,Fulham,38,9,24,5,40,85,-45,32
20,Cardiff,38,7,22,9,32,74,-42,30
