Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Chelsea,38,26,3,9,73,32,41,87
2,Man City,38,24,7,7,83,38,45,79
3,Arsenal,38,22,7,9,71,36,35,75
4,Man United,38,20,8,10,62,37,25,70
5,Tottenham,38,19,12,7,58,53,5,64
6,Liverpool,38,18,12,8,52,48,4,62
7,Southampton,38,18,14,6,54,33,21,60
8,Swansea,38,16,14,8,46,49,-3,56
9,Stoke,38,15,14,9,48,45,3,54
10,Crystal Palace,38,13,16,9,47,51,-4,48
11,West Ham,38,12,15,11,44,47,-3,47
12,Everton,38,12,15,11,48,50,-2,47
13,West Brom,38,11,16,11,38,51,-13,44
14,Leicester,38,11,19,8,46,55,-9,41
15,Newcastle,38,10,19,9,40,63,-23,39
16,Sunderland,38,7,14,17,31,53,-22,38
17,Aston Villa,38,10,20,8,31,57,-26,38
18,Hull,38,8,19,11,33,51,-18,35
19,Burnley,38,7,19,12,28,53,-25,33
20,QPR,38,8,24,6,42,73,-31,30
