Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man United,38,23,4,11,78,37,41,80
2,Man City,38,21,9,8,60,33,27,71
3,Chelsea,38,21,9,8,69,33,36,71
4,Arsenal,38,19,8,11,72,43,29,68
5,Tottenham,38,16,8,14,55,46,9,62
6,Liverpool,38,17,14,7,59,44,15,58
7,Everton,38,13,10,15,51,45,6,54
8,Fulham,38,11,11,16,49,43,6,49
9,Aston Villa,38,12,14,12,48,59,-11,48
10,West Brom,38,12,15,11,56,71,-15,47
11,Sunderland,38,12,15,11,45,56,-11,47
12,Stoke,38,13,18,7,46,48,-2,46
13,Newcastle,38,11,14,13,56,57,-1,46
14,Bolton,38,12,16,10,52,56,-4,46
15,Blackburn,38,11,17,10,46,59,-13,43
16,Wigan,38,9,14,15,40,61,-21,42
17,Wolves,38,11,20,7,46,66,-20,40
18,Birmingham,38,8,15,15,37,58,-21,39
19,Blackpool,38,10,19,9,55,78,-23,39
20,West Ham,38,7,19,12,43,70,-27,33
