Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man City,38,32,2,4,106,27,79,100
2,Man United,38,25,7,6,68,28,40,81
3,Tottenham,38,23,7,8,74,36,38,77
4,Liverpool,38,21,5,12,84,38,46,75
5,Chelsea,38,21,10,7,62,38,24,70
6,Arsenal,38,19,13,6,74,51,23,63
7,Burnley,38,14,12,12,36,39,-3,54
8,Everton,38,13,15,10,44,58,-14,49
9,Leicester,38,12,15,11,56,60,-4,47
10,Bournemouth,38,11,16,11,45,61,-16,44
11,Newcastle,38,12,18,8,39,47,-8,44
12,Crystal Palace,38,11,16,11,45,55,-10,44
13,West Ham,38,10,16,12,48,68,-20,42
14,Watford,38,11,19,8,44,64,-20,41
15,Brighton,38,9,16,13,34,54,-20,40
16,Huddersfield,38,9,19,10,28,58,-30,37
17,Southampton,38,7,16,15,37,56,-19,36
18,Stoke,38,7,19,12,35,68,-33,33
19,Swansea,38,8,21,9,28,56,-28,33
20,West Brom,38,6,19,13,31,56,-25,31
