Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man United,38,28,4,6,68,24,44,90
2,Liverpool,38,25,2,11,77,27,50,86
3,Chelsea,38,25,5,8,68,24,44,83
4,Arsenal,38,20,6,12,68,37,31,72
5,Everton,38,17,9,12,55,37,18,63
6,Aston Villa,38,17,10,11,54,48,6,62
7,Fulham,38,14,13,11,39,34,5,53
8,Tottenham,38,14,15,9,45,45,0,51
9,West Ham,38,14,15,9,42,45,-3,51
10,Man City,38,15,18,5,58,50,8,50
11,Wigan,38,12,17,9,34,45,-11,45
12,Stoke,38,12,17,9,38,55,-17,45
13,Blackburn,38,10,17,11,40,60,-20,41
14,Bolton,38,11,19,8,41,53,-12,41
15,Portsmouth,38,10,17,11,38,57,-19,41
16,Sunderland,38,9,20,9,34,54,-20,36
17,Hull,38,8,19,11,39,64,-25,35
18,Newcastle,38,7,18,13,40,59,-19,34
19,West Brom,38,8,22,8,36,67,-31,32
20,Middlesbrough,38,7,20,11,28,57,-29,32
